temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,ingested_at
2.2,-0.2,84.0,0.0,0.0,269.0,16.7,33.3,1011.0,0.0,7.0,2025-12-13 09:38:49.740769+00:00
2.2,-0.2,84.0,0.0,0.0,269.0,16.7,33.3,1011.0,0.0,7.0,2025-12-13 09:38:49.740769+00:00
2.2,-0.2,84.0,0.0,0.0,270.0,16.7,33.3,1011.0,0.0,7.0,2025-12-13 09:38:49.740769+00:00
2.0,-0.3,85.0,0.0,0.0,269.0,16.7,33.3,1011.1,0.0,12.0,2025-12-13 09:38:49.740769+00:00
1.9,-0.2,86.0,0.0,0.0,269.0,16.7,35.2,1010.9,0.0,12.0,2025-12-13 09:38:49.740769+00:00
1.9,-0.4,85.0,0.0,0.0,267.0,18.5,35.2,1010.6,0.0,14.0,2025-12-13 09:38:49.740769+00:00
1.9,-0.5,84.0,0.0,0.0,263.0,18.5,38.9,1010.3,0.0,14.0,2025-12-13 09:38:49.740769+00:00
2.0,-0.6,83.0,0.0,0.0,263.0,20.4,40.8,1010.2,0.0,14.0,2025-12-13 09:38:49.740769+00:00
2.0,-0.9,81.0,0.0,0.0,262.0,22.2,44.5,1010.2,1.0,14.0,2025-12-13 09:38:49.740769+00:00
2.0,-1.1,80.0,0.0,0.0,259.0,24.1,46.3,1010.1,4.0,14.0,2025-12-13 09:38:49.740769+00:00
2.4,-0.9,79.0,0.0,0.0,262.0,22.2,48.2,1009.8,2.0,14.0,2025-12-13 09:38:49.740769+00:00
2.7,-1.1,76.0,0.0,0.0,262.0,25.9,51.8,1009.2,0.0,12.0,2025-12-13 09:38:49.740769+00:00
2.5,-1.3,76.0,0.0,0.0,260.0,25.9,53.7,1008.4,0.0,14.0,2025-12-13 09:38:49.740769+00:00
2.3,-1.3,77.0,0.0,0.0,263.0,25.9,55.5,1008.2,0.0,14.0,2025-12-13 09:38:49.740769+00:00
1.9,-1.4,79.0,0.2,0.0,270.0,25.9,55.5,1008.4,0.0,14.0,2025-12-13 09:38:49.740769+00:00
1.5,-1.6,80.0,0.1,0.0,276.0,25.9,53.7,1008.8,0.0,14.0,2025-12-13 09:38:49.740769+00:00
1.4,-1.3,82.0,0.1,0.0,280.0,24.1,51.8,1008.8,0.0,14.0,2025-12-13 09:38:49.740769+00:00
1.0,-1.7,82.0,0.0,0.0,283.0,24.1,50.0,1009.8,0.0,14.0,2025-12-13 09:38:49.740769+00:00
0.4,-2.5,81.0,0.0,0.0,285.0,24.1,48.2,1011.0,0.0,14.0,2025-12-13 09:38:49.740769+00:00
0.0,-2.9,81.0,0.0,0.0,285.0,22.2,46.3,1011.9,0.0,14.0,2025-12-13 09:38:49.740769+00:00
-0.3,-3.2,81.0,0.0,0.0,282.0,22.2,44.5,1012.7,0.0,2.0,2025-12-13 09:38:49.740769+00:00
-0.4,-3.4,80.0,0.0,0.0,278.0,22.2,42.6,1013.4,0.0,2.0,2025-12-13 09:38:49.740769+00:00
-0.7,-3.4,82.0,0.0,0.0,278.0,22.2,42.6,1014.1,0.0,2.0,2025-12-13 09:38:49.740769+00:00
-0.5,-3.4,81.0,0.0,0.0,279.0,22.2,40.8,1014.8,0.0,2.0,2025-12-13 09:38:49.740769+00:00
-0.5,-3.5,80.0,0.0,0.0,282.0,22.2,42.6,1015.2,0.0,2.0,2025-12-13 09:38:49.740769+00:00
-0.5,-2.9,84.0,0.0,0.0,282.0,20.4,40.8,1015.8,0.0,2.0,2025-12-13 09:38:49.740769+00:00
-0.6,-3.0,84.0,0.0,0.0,283.0,20.4,38.9,1016.3,0.0,2.0,2025-12-13 09:38:49.740769+00:00
-0.8,-2.5,88.0,0.0,0.0,283.0,18.5,35.2,1016.8,0.0,2.0,2025-12-13 09:38:49.740769+00:00
-0.9,-3.3,84.0,0.0,0.0,284.0,16.7,33.3,1017.4,0.0,2.0,2025-12-13 09:38:49.740769+00:00
-1.0,-3.2,85.0,0.0,0.0,279.0,14.8,31.5,1018.2,0.0,2.0,2025-12-13 09:38:49.740769+00:00
-1.2,-3.2,86.0,0.0,0.0,277.0,13.0,27.8,1018.7,0.0,2.0,2025-12-13 09:38:49.740769+00:00
-1.2,-2.9,88.0,0.0,0.0,268.0,13.0,25.9,1019.0,0.0,2.0,2025-12-13 09:38:49.740769+00:00
-1.2,-2.8,89.0,0.0,0.0,260.0,13.0,24.1,1019.2,8.0,2.0,2025-12-13 09:38:49.740769+00:00
-0.9,-2.5,89.0,0.0,0.0,252.0,13.0,24.1,1019.3,14.0,2.0,2025-12-13 09:38:49.740769+00:00
-0.6,-1.7,92.0,0.0,0.0,251.0,11.1,22.2,1019.7,12.0,4.0,2025-12-13 09:38:49.740769+00:00
0.1,-1.3,90.0,0.0,0.0,243.0,11.1,24.1,1019.4,11.0,3.0,2025-12-13 09:38:49.740769+00:00
0.3,-1.5,88.0,0.0,0.0,237.0,13.0,25.9,1018.8,6.0,3.0,2025-12-13 09:38:49.740769+00:00
0.5,-1.4,87.0,0.0,0.0,229.0,13.0,25.9,1018.3,4.0,4.0,2025-12-13 09:38:49.740769+00:00
0.5,-1.6,86.0,0.0,0.0,222.0,13.0,25.9,1018.0,4.0,4.0,2025-12-13 09:38:49.740769+00:00
0.4,-1.7,86.0,0.0,0.0,217.0,13.0,25.9,1017.7,3.0,4.0,2025-12-13 09:38:49.740769+00:00
0.1,-1.6,88.0,0.0,0.0,208.0,13.0,22.2,1017.5,1.0,4.0,2025-12-13 09:38:49.740769+00:00
0.1,-1.6,88.0,0.0,0.0,212.0,13.0,24.1,1017.1,0.0,3.0,2025-12-13 09:38:49.740769+00:00
0.1,-1.6,88.0,0.0,0.0,213.0,13.0,24.1,1016.9,0.0,3.0,2025-12-13 09:38:49.740769+00:00
0.0,-1.7,88.0,0.0,0.0,214.0,13.0,22.2,1016.5,0.0,3.0,2025-12-13 09:38:49.740769+00:00
-0.2,-1.8,89.0,0.0,0.0,214.0,13.0,24.1,1016.1,0.0,3.0,2025-12-13 09:38:49.740769+00:00
-0.3,-1.9,89.0,0.0,0.0,212.0,11.1,22.2,1015.8,0.0,3.0,2025-12-13 09:38:49.740769+00:00
-0.2,-2.1,87.0,0.0,0.0,210.0,11.1,22.2,1015.3,0.0,4.0,2025-12-13 09:38:49.740769+00:00
-0.4,-2.1,88.0,0.0,0.0,210.0,11.1,20.4,1014.9,0.0,3.0,2025-12-13 09:38:49.740769+00:00
-0.5,-2.2,88.0,0.0,0.0,210.0,11.1,18.5,1014.5,0.0,3.0,2025-12-13 09:38:49.740769+00:00
-0.8,-2.2,90.0,0.0,0.0,204.0,11.1,18.5,1014.0,0.0,3.0,2025-12-13 09:38:49.740769+00:00
-1.2,-2.2,93.0,0.0,0.0,197.0,9.3,18.5,1013.6,0.0,3.0,2025-12-13 09:38:49.740769+00:00
-1.3,-2.3,93.0,0.0,0.0,187.0,9.3,16.7,1012.9,0.0,3.0,2025-12-13 09:38:49.740769+00:00
-1.4,-2.7,91.0,0.0,0.0,175.0,11.1,18.5,1012.4,0.0,3.0,2025-12-13 09:38:49.740769+00:00
-1.5,-2.9,90.0,0.0,0.0,170.0,11.1,18.5,1011.7,0.0,3.0,2025-12-13 09:38:49.740769+00:00
-1.6,-3.0,90.0,0.0,0.0,157.0,11.1,18.5,1011.2,0.0,4.0,2025-12-13 09:38:49.740769+00:00
-1.6,-3.2,89.0,0.0,0.0,152.0,11.1,20.4,1010.5,0.0,4.0,2025-12-13 09:38:49.740769+00:00
-1.4,-3.1,88.0,0.0,0.0,146.0,13.0,22.2,1009.9,0.0,4.0,2025-12-13 09:38:49.740769+00:00
-1.3,-3.0,88.0,0.0,0.0,142.0,13.0,24.1,1009.1,2.0,4.0,2025-12-13 09:38:49.740769+00:00
-0.5,-3.0,83.0,0.0,0.0,138.0,14.8,25.9,1008.1,0.0,4.0,2025-12-13 09:38:49.740769+00:00
-0.2,-3.1,81.0,0.0,0.0,139.0,14.8,27.8,1006.8,0.0,4.0,2025-12-13 09:38:49.740769+00:00
0.1,-2.9,80.0,0.0,0.0,135.0,16.7,29.6,1005.4,0.0,4.0,2025-12-13 09:38:49.740769+00:00
0.0,-2.5,83.0,0.0,0.0,132.0,18.5,31.5,1003.9,1.0,14.0,2025-12-13 09:38:49.740769+00:00
-0.3,-2.5,85.0,0.0,0.0,126.0,20.4,33.3,1002.7,0.0,14.0,2025-12-13 09:38:49.740769+00:00
-0.4,-2.5,86.0,0.0,0.0,126.0,20.4,35.2,1001.5,0.0,14.0,2025-12-13 09:38:49.740769+00:00
-0.1,-1.5,90.0,0.1,0.0,126.0,20.4,35.2,1000.5,0.0,14.0,2025-12-13 09:38:49.740769+00:00
-0.3,-1.4,92.0,0.8,1.0,128.0,20.4,35.2,999.3,0.0,15.0,2025-12-13 09:38:49.740769+00:00
-0.6,-0.9,98.0,1.1,1.0,129.0,20.4,37.0,998.4,0.0,15.0,2025-12-13 09:38:49.740769+00:00
-0.8,-0.8,100.0,1.2,1.0,130.0,18.5,35.2,997.1,0.0,15.0,2025-12-13 09:38:49.740769+00:00
-0.3,-0.3,100.0,1.0,0.0,134.0,18.5,35.2,996.2,0.0,13.0,2025-12-13 09:38:49.740769+00:00
0.2,0.2,100.0,1.0,0.0,140.0,16.7,31.5,995.1,0.0,13.0,2025-12-13 09:38:49.740769+00:00
0.9,0.9,100.0,0.3,0.0,148.0,16.7,33.3,994.0,0.0,13.0,2025-12-13 09:38:49.740769+00:00
1.7,1.7,100.0,0.1,0.0,149.0,14.8,29.6,993.5,0.0,8.0,2025-12-13 09:38:49.740769+00:00
2.4,2.4,100.0,1.3,0.0,164.0,14.8,27.8,993.0,0.0,8.0,2025-12-13 09:38:49.740769+00:00
2.9,2.9,100.0,2.1,0.0,173.0,14.8,29.6,992.8,0.0,8.0,2025-12-13 09:38:49.740769+00:00
3.4,3.4,100.0,0.6,0.0,186.0,16.7,29.6,992.5,0.0,8.0,2025-12-13 09:38:49.740769+00:00
4.0,4.0,100.0,0.0,0.0,194.0,16.7,31.5,992.3,0.0,7.0,2025-12-13 09:38:49.740769+00:00
5.1,5.1,100.0,0.4,0.0,201.0,16.7,31.5,992.0,0.0,7.0,2025-12-13 09:38:49.740769+00:00
5.6,5.6,100.0,0.8,0.0,204.0,18.5,31.5,991.8,0.0,7.0,2025-12-13 09:38:49.740769+00:00
6.3,5.9,97.0,0.1,0.0,203.0,20.4,35.2,991.5,0.0,7.0,2025-12-13 09:38:49.740769+00:00
7.0,5.8,92.0,0.1,0.0,207.0,20.4,35.2,991.7,0.0,7.0,2025-12-13 09:38:49.740769+00:00
7.4,5.9,90.0,0.1,0.0,206.0,20.4,37.0,991.8,0.0,7.0,2025-12-13 09:38:49.740769+00:00
7.6,5.7,88.0,0.6,0.0,206.0,22.2,38.9,991.9,0.0,7.0,2025-12-13 09:38:49.740769+00:00
7.9,5.5,85.0,0.0,0.0,206.0,22.2,40.8,991.8,0.0,7.0,2025-12-13 09:38:49.740769+00:00
8.4,5.5,82.0,0.0,0.0,206.0,22.2,42.6,991.7,0.0,7.0,2025-12-13 09:38:49.740769+00:00
8.9,5.5,79.0,0.2,0.0,206.0,22.2,42.6,991.2,0.0,7.0,2025-12-13 09:38:49.740769+00:00
9.3,5.5,77.0,0.1,0.0,204.0,22.2,42.6,990.9,2.0,7.0,2025-12-13 09:38:49.740769+00:00
9.6,5.0,73.0,0.2,0.0,201.0,22.2,42.6,990.5,3.0,7.0,2025-12-13 09:38:49.740769+00:00
9.6,4.8,72.0,0.0,0.0,195.0,22.2,40.8,990.2,5.0,4.0,2025-12-13 09:38:49.740769+00:00
9.4,4.6,72.0,0.0,0.0,191.0,22.2,40.8,990.0,0.0,3.0,2025-12-13 09:38:49.740769+00:00
9.1,3.9,70.0,0.0,0.0,192.0,24.1,42.6,989.8,0.0,3.0,2025-12-13 09:38:49.740769+00:00
9.1,3.7,69.0,0.0,0.0,196.0,24.1,40.8,989.4,0.0,3.0,2025-12-13 09:38:49.740769+00:00
9.0,3.4,68.0,0.0,0.0,202.0,22.2,40.8,990.5,0.0,3.0,2025-12-13 09:38:49.740769+00:00
9.0,3.0,66.0,0.0,0.0,212.0,22.2,38.9,991.5,0.0,3.0,2025-12-13 09:38:49.740769+00:00
8.7,2.9,67.0,0.0,0.0,221.0,20.4,38.9,992.9,0.0,3.0,2025-12-13 09:38:49.740769+00:00
8.6,2.2,64.0,0.0,0.0,229.0,20.4,40.8,993.3,0.0,3.0,2025-12-13 09:38:49.740769+00:00
7.7,1.8,66.0,0.0,0.0,228.0,20.4,38.9,994.5,0.0,3.0,2025-12-13 09:38:49.740769+00:00
6.9,1.2,67.0,0.0,0.0,224.0,20.4,38.9,995.8,0.0,3.0,2025-12-13 09:38:49.740769+00:00
6.7,1.0,67.0,0.0,0.0,222.0,20.4,37.0,996.4,0.0,3.0,2025-12-13 09:38:49.740769+00:00
6.5,0.8,67.0,0.0,0.0,218.0,20.4,37.0,996.8,0.0,3.0,2025-12-13 09:38:49.740769+00:00
6.4,0.5,66.0,0.0,0.0,215.0,20.4,37.0,997.1,0.0,3.0,2025-12-13 09:38:49.740769+00:00
6.0,0.3,67.0,0.0,0.0,210.0,20.4,37.0,997.8,0.0,3.0,2025-12-13 09:38:49.740769+00:00
5.9,0.2,67.0,0.0,0.0,209.0,20.4,37.0,997.6,0.0,3.0,2025-12-13 09:38:49.740769+00:00
5.7,0.3,68.0,0.0,0.0,209.0,20.4,38.9,997.4,0.0,3.0,2025-12-13 09:38:49.740769+00:00
6.0,0.3,67.0,0.0,0.0,210.0,22.2,40.8,997.5,0.0,3.0,2025-12-13 09:38:49.740769+00:00
6.1,0.2,66.0,0.0,0.0,213.0,22.2,42.6,997.8,4.0,3.0,2025-12-13 09:38:49.740769+00:00
6.1,0.2,66.0,0.0,0.0,218.0,22.2,42.6,998.1,10.0,3.0,2025-12-13 09:38:49.740769+00:00
6.6,0.3,64.0,0.0,0.0,223.0,22.2,44.5,998.6,16.0,3.0,2025-12-13 09:38:49.740769+00:00
7.0,-0.0,61.0,0.0,0.0,227.0,22.2,44.5,998.6,15.0,3.0,2025-12-13 09:38:49.740769+00:00
7.1,0.1,61.0,0.0,0.0,229.0,22.2,44.5,998.4,12.0,7.0,2025-12-13 09:38:49.740769+00:00
6.9,-0.3,60.0,0.0,0.0,229.0,20.4,44.5,998.5,12.0,7.0,2025-12-13 09:38:49.740769+00:00
6.2,-0.5,62.0,0.0,0.0,227.0,20.4,42.6,998.8,9.0,7.0,2025-12-13 09:38:49.740769+00:00
5.5,-0.6,65.0,0.0,0.0,227.0,20.4,40.8,999.1,4.0,7.0,2025-12-13 09:38:49.740769+00:00
4.7,0.5,74.0,0.0,0.0,228.0,18.5,38.9,999.2,3.0,7.0,2025-12-13 09:38:49.740769+00:00
4.4,0.5,76.0,0.1,0.0,235.0,18.5,38.9,999.6,0.0,7.0,2025-12-13 09:38:49.740769+00:00
3.8,0.8,81.0,1.3,0.0,235.0,18.5,37.0,999.9,0.0,7.0,2025-12-13 09:38:49.740769+00:00
3.6,0.5,80.0,0.0,0.0,233.0,18.5,35.2,999.9,0.0,7.0,2025-12-13 09:38:49.740769+00:00
3.3,0.2,80.0,0.0,0.0,228.0,16.7,33.3,999.9,0.0,2.0,2025-12-13 09:38:49.740769+00:00
3.0,-0.1,80.0,0.1,0.0,225.0,16.7,33.3,999.8,0.0,3.0,2025-12-13 09:38:49.740769+00:00
3.1,-0.0,80.0,0.0,0.0,221.0,16.7,31.5,1000.2,0.0,7.0,2025-12-13 09:38:49.740769+00:00
